127.0.0.1 - - [17/Aug/2016:19:42:57 +0400] "GET /cargocpc/index.html HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:29 +0400] "GET /petclinic-api/api/vets HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:29 +0400] "GET /petclinic-api/api/owners HTTP/1.1" 200 5318
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:29 +0400] "GET /petclinic-api/api/pets HTTP/1.1" 200 2884
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:33 +0400] "GET /petclinic-api/api/pets HTTP/1.1" 200 2884
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:33 +0400] "GET /petclinic-api/api/vets HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:33 +0400] "GET /petclinic-api/api/owners HTTP/1.1" 200 5318
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:33 +0400] "GET /petclinic-api/api/owners/1 HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:33 +0400] "GET /petclinic-api/api/owners/2 HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:34 +0400] "GET /petclinic-api/api/owners/0 HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:34 +0400] "GET /petclinic-api/api/pets/types HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:36 +0400] "POST /petclinic-api/api/owners/1/pets HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:44 +0400] "GET /petclinic-api/api/vets HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:44 +0400] "GET /petclinic-api/api/pets HTTP/1.1" 200 2884
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:44 +0400] "GET /petclinic-api/api/owners HTTP/1.1" 200 5505
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:44 +0400] "GET /petclinic-api/api/pets HTTP/1.1" 200 2884
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:48 +0400] "GET /petclinic-api/api/vets HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:48 +0400] "GET /petclinic-api/api/pets HTTP/1.1" 200 2884
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:48 +0400] "GET /petclinic-api/api/owners HTTP/1.1" 200 5505
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:49 +0400] "GET /petclinic-api/api/vets HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:45:27 +0400] "GET /petclinic-api/api/owners/0 HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:45:27 +0400] "GET /petclinic-api/api/owners/2 HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:45:27 +0400] "GET /petclinic-api/api/owners/1 HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:45:27 +0400] "GET /petclinic-api/api/pets/types HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:46:57 +0400] "GET /petclinic-api/api/owners HTTP/1.1" 200 5505
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:46:57 +0400] "GET /petclinic-api/api/vets HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:46:57 +0400] "GET /petclinic-api/api/pets HTTP/1.1" 200 3049
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:46:59 +0400] "GET /petclinic-api/api/owners/2 HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:46:59 +0400] "GET /petclinic-api/api/owners/1 HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:46:59 +0400] "GET /petclinic-api/api/owners/0 HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:46:59 +0400] "GET /petclinic-api/api/pets/types HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:47:01 +0400] "POST /petclinic-api/api/owners/1/pets HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:47:06 +0400] "GET /petclinic-api/api/vets HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:47:06 +0400] "GET /petclinic-api/api/pets HTTP/1.1" 200 3049
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:47:06 +0400] "GET /petclinic-api/api/owners HTTP/1.1" 200 5691
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:47:07 +0400] "GET /petclinic-api/api/owners/2 HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:47:07 +0400] "GET /petclinic-api/api/owners/1 HTTP/1.1" 200 801
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:47:07 +0400] "GET /petclinic-api/api/owners/0 HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:47:07 +0400] "GET /petclinic-api/api/pets/types HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:47:09 +0400] "POST /petclinic-api/api/owners/1/pets HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:47:15 +0400] "GET /petclinic-api/api/pets HTTP/1.1" 200 3049
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:47:15 +0400] "GET /petclinic-api/api/vets HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:47:15 +0400] "GET /petclinic-api/api/owners HTTP/1.1" 200 5878
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:47:16 +0400] "GET /petclinic-api/api/pets HTTP/1.1" 200 3049
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:47:20 +0400] "GET /petclinic-api/api/vets HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:47:20 +0400] "GET /petclinic-api/api/pets HTTP/1.1" 200 3049
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:47:20 +0400] "GET /petclinic-api/api/owners HTTP/1.1" 200 5878
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:47:20 +0400] "GET /petclinic-api/api/vets HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:48:31 +0400] "GET /petclinic-api/api/vets HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:48:31 +0400] "GET /petclinic-api/api/owners HTTP/1.1" 200 5878
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:48:31 +0400] "GET /petclinic-api/api/pets HTTP/1.1" 200 3378
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:48:33 +0400] "GET /petclinic-api/api/owners/1 HTTP/1.1" 200 988
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:48:33 +0400] "GET /petclinic-api/api/owners/2 HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:48:33 +0400] "GET /petclinic-api/api/owners/0 HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:48:33 +0400] "GET /petclinic-api/api/pets/types HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:48:35 +0400] "POST /petclinic-api/api/owners/1/pets HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:48:40 +0400] "GET /petclinic-api/api/vets HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:48:40 +0400] "GET /petclinic-api/api/pets HTTP/1.1" 200 3378
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:48:40 +0400] "GET /petclinic-api/api/owners HTTP/1.1" 200 6064
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:48:41 +0400] "GET /petclinic-api/api/owners/2 HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:48:41 +0400] "GET /petclinic-api/api/owners/1 HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:48:41 +0400] "GET /petclinic-api/api/pets/types HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:48:41 +0400] "GET /petclinic-api/api/owners/0 HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:48:43 +0400] "POST /petclinic-api/api/owners/1/pets HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:48:49 +0400] "GET /petclinic-api/api/vets HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:48:49 +0400] "GET /petclinic-api/api/pets HTTP/1.1" 200 3378
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:48:49 +0400] "GET /petclinic-api/api/owners HTTP/1.1" 200 6251
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:48:50 +0400] "GET /petclinic-api/api/pets HTTP/1.1" 200 3378
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:48:54 +0400] "GET /petclinic-api/api/vets HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:48:54 +0400] "GET /petclinic-api/api/pets HTTP/1.1" 200 3378
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:48:54 +0400] "GET /petclinic-api/api/owners HTTP/1.1" 200 6251
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:48:54 +0400] "GET /petclinic-api/api/vets HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:50:47 +0400] "GET /petclinic-api/api/vets HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:50:48 +0400] "GET /petclinic-api/api/pets HTTP/1.1" 200 3707
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:50:48 +0400] "GET /petclinic-api/api/owners HTTP/1.1" 200 6251
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:50:49 +0400] "GET /petclinic-api/api/owners/2 HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:50:49 +0400] "GET /petclinic-api/api/owners/1 HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:50:49 +0400] "GET /petclinic-api/api/pets/types HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:50:49 +0400] "GET /petclinic-api/api/owners/0 HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:50:51 +0400] "POST /petclinic-api/api/owners/1/pets HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:50:58 +0400] "GET /petclinic-api/api/vets HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:50:58 +0400] "GET /petclinic-api/api/pets HTTP/1.1" 200 3707
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:50:58 +0400] "GET /petclinic-api/api/owners HTTP/1.1" 200 6437
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:50:59 +0400] "GET /petclinic-api/api/pets/types HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:50:59 +0400] "GET /petclinic-api/api/owners/2 HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:50:59 +0400] "GET /petclinic-api/api/owners/1 HTTP/1.1" 200 1547
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:50:59 +0400] "GET /petclinic-api/api/owners/0 HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:51:01 +0400] "POST /petclinic-api/api/owners/1/pets HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:51:09 +0400] "GET /petclinic-api/api/vets HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:51:09 +0400] "GET /petclinic-api/api/pets HTTP/1.1" 200 3707
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:51:09 +0400] "GET /petclinic-api/api/owners HTTP/1.1" 200 6624
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:51:09 +0400] "GET /petclinic-api/api/pets HTTP/1.1" 200 3707
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:51:15 +0400] "GET /petclinic-api/api/vets HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:51:15 +0400] "GET /petclinic-api/api/pets HTTP/1.1" 200 3707
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:51:15 +0400] "GET /petclinic-api/api/owners HTTP/1.1" 200 6624
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:51:16 +0400] "GET /petclinic-api/api/vets HTTP/1.1" 200 2305
