127.0.0.1 - - [17/Aug/2016:19:43:06 +0400] "GET /cargocpc/index.html HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:23 +0400] "GET /petclinic/jscoverage-clear-local-storage.html HTTP/1.1" 200 2047
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:23 +0400] "GET /petclinic/jscoverage-highlight.css HTTP/1.1" 200 1158
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:23 +0400] "GET /petclinic/jscoverage.css HTTP/1.1" 200 5986
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:26 +0400] "GET /petclinic/jscoverage.html?index.html HTTP/1.1" 200 7725
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:26 +0400] "GET /petclinic/jscoverage-throbber.gif HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:26 +0400] "GET /petclinic/jscoverage.js HTTP/1.1" 200 50382
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:26 +0400] "GET /petclinic/index.html HTTP/1.1" 200 2520
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:26 +0400] "GET /petclinic/plugins/bootstrap-datepicker/bootstrap-datepicker.css HTTP/1.1" 200 17092
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:26 +0400] "GET /petclinic/styles/main.css HTTP/1.1" 200 127161
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:26 +0400] "GET /petclinic/plugins/jquery/jquery-2.1.0.min.js HTTP/1.1" 200 83615
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:26 +0400] "GET /petclinic/js/lib/bootstrap.js HTTP/1.1" 200 66924
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:26 +0400] "GET /petclinic/plugins/jquery-ui/jquery-ui.min.js HTTP/1.1" 200 228478
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:26 +0400] "GET /petclinic/js/lib/angular-resource.js HTTP/1.1" 200 26774
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:26 +0400] "GET /petclinic/plugins/bootstrap-datepicker/bootstrap-datepicker.js HTTP/1.1" 200 49874
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:26 +0400] "GET /petclinic/js/lib/angular-ui-router-statehelper.js HTTP/1.1" 200 1953
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:26 +0400] "GET /petclinic/js/lib/angular-ui-router.js HTTP/1.1" 200 156740
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:26 +0400] "GET /petclinic/js/lib/angular.js HTTP/1.1" 200 952033
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:26 +0400] "GET /petclinic/js/lib/angular-cookies.js HTTP/1.1" 200 5825
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:26 +0400] "GET /petclinic/js/lib/angular-animate.js HTTP/1.1" 200 104248
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:26 +0400] "GET /petclinic/js/lib/angular-storage.js HTTP/1.1" 200 3676
